restaurant_id,restaurant_name,cuisine,menu_item_id,menu_item_name,ingredients,protein,carbs,fats,calories,dietary_warnings,vegetarian_or_nonveg,image_path,average_rating,price,serves
R007,Green Leaf,Vegan,R007M001,Vegan Caesar Salad,"romaine lettuce, vegan dressing, croutons, almond parmesan",5,15,10,180,,Vegetarian,images/R007/R007M001.png,3.8,10,1
R007,Green Leaf,Vegan,R007M002,Vegan Burger,"plant-based patty, lettuce, tomato, vegan mayo, bun",20,30,15,350,,Vegetarian,images/R007/R007M002.png,3.6,12,1
R007,Green Leaf,Vegan,R007M003,Vegan Sushi,"nori, sushi rice, avocado, cucumber, vegan cream cheese",5,40,5,200,,Vegetarian,images/R007/R007M003.png,4.2,14,1
R007,Green Leaf,Vegan,R007M004,Vegan Chili,"beans, tomatoes, corn, vegan meat crumbles, spices",15,30,10,300,,Vegetarian,images/R007/R007M004.png,4.8,11,"""1-2"""
R007,Green Leaf,Vegan,R007M005,Vegan Pizza,"dough, vegan cheese, vegan soya sausage, onions, bell peppers",12,35,10,320,Contains gluten,Vegetarian,images/R007/R007M005.png,4.5,13,"""1-2"""
R008,Burger Hub,Fast Food,R008M001,Classic Cheeseburger,"beef patty, cheese, lettuce, tomato, pickles, bun",25,30,20,450,"Contains gluten, dairy",Non-Vegetarian,images/R008/R008M001.png,4.6,8,1
R008,Burger Hub,Fast Food,R008M002,Vegan Burger,"plant-based patty, avocado, lettuce, tomato, vegan bun",18,40,15,400,Contains gluten,Vegetarian,images/R008/R008M002.png,4.5,9,1
R008,Burger Hub,Fast Food,R008M003,Bacon Burger,"beef patty, bacon, cheddar cheese, BBQ sauce, bun",30,30,25,500,"Contains gluten, dairy",Non-Vegetarian,images/R008/R008M003.png,4.7,10,1
R008,Burger Hub,Fast Food,R008M004,Loaded Fries,"fries, cheese, bacon, green onions",10,45,25,420,Contains dairy,Non-Vegetarian,images/R008/R008M004.png,3.9,7,"""1-2"""
R008,Burger Hub,Fast Food,R008M005,Chicken Sandwich,"chicken breast, lettuce, tomato, mayo, bread",25,35,18,410,Contains gluten,Non-Vegetarian,images/R008/R008M005.png,3.8,8,1
R009,Sandwich Corner,Sandwiches,R009M001,Turkey Club Sandwich,"turkey, bacon, lettuce, tomato, mayo, bread",20,30,10,360,Contains gluten,Non-Vegetarian,images/R009/R009M001.png,4.5,8,1
R009,Sandwich Corner,Sandwiches,R009M002,Veggie Sandwich,"lettuce, tomato, cucumbers, peppers, hummus, whole grain bread",10,40,5,250,Contains gluten,Vegetarian,images/R009/R009M002.png,4.4,7,1
R009,Sandwich Corner,Sandwiches,R009M003,Chicken Pesto Sandwich,"chicken, pesto sauce, mozzarella, arugula, ciabatta",25,35,20,450,"Contains gluten, dairy",Non-Vegetarian,images/R009/R009M003.png,4.7,9,1
R009,Sandwich Corner,Sandwiches,R009M004,Italian Sub,"salami, ham, pepperoni, provolone, lettuce, tomato, Italian dressing, hoagie roll",22,35,25,480,"Contains gluten, dairy",Non-Vegetarian,images/R009/R009M004.png,4.6,10,1
R009,Sandwich Corner,Sandwiches,R009M005,BLT Sandwich,"bacon, lettuce, tomato, bread",12,28,15,320,Contains gluten,Non-Vegetarian,images/R009/R009M005.png,4.8,6,1
R010,Dakshin Delights,South Indian,R010M001,Masala Dosa,"dosa batter, potatoes, mustard seeds, turmeric, curry leaves",6,60,10,300,Contains mustard,Vegetarian,images/R010/R010M001.png,4.7,3,1
R010,Dakshin Delights,South Indian,R010M002,Idli Sambar,"rice, urad dal, carrots, tomatoes, tamarind",8,40,5,250,,Vegetarian,images/R010/R010M002.png,4.5,4,"""1-2"""
R010,Dakshin Delights,South Indian,R010M003,Vada Sambar,"urad dal, curry leaves, coconut chutney, tamarind",12,30,15,350,,Vegetarian,images/R010/R010M003.png,4.6,2,"""1-2"""
R010,Dakshin Delights,South Indian,R010M004,Pongal,"rice, moong dal, ghee, cashews, cumin, black pepper",10,45,12,400,"Contains nuts, dairy",Vegetarian,images/R010/R010M004.png,4.8,5,"""1-2"""
R010,Dakshin Delights,South Indian,R010M005,Uttapam,"rice batter, onions, tomatoes, green chilies",9,50,8,280,,Vegetarian,images/R010/R010M005.png,4.5,3,"""1-2"""
